person_id,title,type,link,more
1,Theory of Relativity,Scientific Paper,https://en.wikipedia.org/wiki/Theory_of_relativity,A groundbreaking scientific theory.
1,E=mc²,Formula,https://en.wikipedia.org/wiki/Mass–energy_equivalence,Einstein's most famous equation.
2,The Two Fridas,Painting,https://en.wikipedia.org/wiki/The_Two_Fridas,One of Frida Kahlo's most famous works.
3,Why I Am Not a Christian,Essay,https://en.wikipedia.org/wiki/Why_I_Am_Not_a_Christian,One of Russell's most famous essays.
4,The Birth of Venus,Painting,https://en.wikipedia.org/wiki/The_Birth_of_Venus,A masterpiece of the Italian Renaissance.
5,The Picture of Dorian Gray,Novel,https://en.wikipedia.org/wiki/The_Picture_of_Dorian_Gray,Wilde's only novel and a Gothic classic.
6,Look Homeward, Angel,Novel,https://en.wikipedia.org/wiki/Look_Homeward,_Angel,A semi-autobiographical novel by Wolfe.
7,Radio Silence,Album,https://en.wikipedia.org/wiki/Radio_Silence_(album),Grebenshchikov's solo album after Aquarium.
8,Swan Lake,Ballet,https://en.wikipedia.org/wiki/Swan_Lake,One of Tchaikovsky's most famous ballets.
8,The Nutcracker,Ballet,https://en.wikipedia.org/wiki/The_Nutcracker,Tchaikovsky's popular Christmas ballet.
9,"Wind's Songs",Song,https://www.discogs.com/release/1866369-%D0%96%D0%B0%D0%BD%D0%BD%D0%B0-%D0%90%D0%B3%D1%83%D0%B7%D0%B0%D1%80%D0%BE%D0%B2%D0%B0-%D0%9F%D0%B5%D1%81%D0%BD%D0%B8-%D0%92%D0%B5%D1%82%D1%80%D0%B0,"One of Zhanna Aguzarova's most iconic songs."
10,Rule of Egypt,Historical Leadership,https://en.wikipedia.org/wiki/Cleopatra,Known for her strategic alliance with Julius Caesar and Mark Antony.
11,The Republic,Philosophical Work,https://en.wikipedia.org/wiki/The_Republic_(Plato),Plato's influential dialogue on justice and political theory.
12,Socratic Method,Philosophical Method,https://en.wikipedia.org/wiki/Socratic_method,Socrates' method of questioning to stimulate critical thinking.
13,Back to Black,Album,https://en.wikipedia.org/wiki/Back_to_Black,One of Amy Winehouse's most successful albums.
14,31-я весна (31st Spring),Song,https://www.discogs.com/release/1070898-%D0%9D%D0%BE%D1%87%D0%BD%D1%8B%D0%B5-%D0%A1%D0%BD%D0%B0%D0%B9%D0%BF%D0%B5%D1%80%D1%8B-31-%D1%8F-%D0%92%D0%B5%D1%81%D0%BD%D0%B0,"A hit song by Diana Arbenina's band Night Snipers."
15,The Goddess,Film,https://www.imdb.com/title/tt0436339/,A film directed by Renata Litvinova.
16,O Superman,Song,https://en.wikipedia.org/wiki/O_Superman,One of Laurie Anderson's most well-known avant-garde tracks.
17,The Sea,Novel,https://en.wikipedia.org/wiki/The_Sea,_The_Sea,Iris Murdoch's Booker Prize-winning novel.
18,Modern Japan,Painting,https://example.com,One of Takeo Suzuki's modern works blending Japanese traditional and modern art.
19,Pulp Fiction,Film,https://en.wikipedia.org/wiki/Pulp_Fiction,One of Quentin Tarantino's most iconic films.
20,Kill Bill,Film,https://en.wikipedia.org/wiki/Kill_Bill,Uma Thurman’s most iconic role in Tarantino's film series.
21,Slave to the Rhythm,Album,https://en.wikipedia.org/wiki/Slave_to_the_Rhythm_(album),One of Grace Jones' most successful albums.
